,team,drives,Year,catchshootattempt,passes,potentialasst,pullupfgattempt,distance,speed,touches,elbowtouches,postups,painttouches
0,Atlanta Hawks,38.6,2014,28.7,320.2,50.5,15.6,16.86,4.20,438.8,17.8,13.0,24.8
1,Boston Celtics,30.4,2014,26.7,297.9,45.6,20.4,16.63,4.15,417.9,14.0,16.4,26.3
2,Brooklyn Nets,36.5,2014,25.0,292.6,44.1,18.8,16.37,4.07,405.5,16.2,16.3,24.4
3,Charlotte Bobcats,34.9,2014,24.2,322.0,45.6,19.7,17.20,4.26,437.8,16.6,21.0,21.9
4,Chicago Bulls,26.8,2014,26.3,317.8,50.3,16.2,17.00,4.21,434.6,21.3,18.4,29.1
5,Cleveland Cavaliers,37.5,2014,22.9,296.9,43.6,24.2,17.40,4.31,416.8,17.8,10.7,24.3
6,Dallas Mavericks,32.7,2014,25.5,309.6,48.3,21.9,16.68,4.15,428.1,17.3,14.5,23.9
7,Denver Nuggets,39.1,2014,24.5,262.4,48.3,18.4,17.04,4.25,386.6,17.6,12.1,33.3
8,Detroit Pistons,33.4,2014,19.8,259.1,43.8,18.3,16.59,4.13,382.3,14.0,17.3,30.3
9,Golden State Warriors,28.3,2014,22.6,243.8,44.7,22.6,16.84,4.20,364.4,12.3,15.8,24.0
10,Houston Rockets,41.9,2014,22.0,293.4,42.9,13.6,16.81,4.18,413.8,10.2,17.7,26.4
11,Indiana Pacers,28.2,2014,25.4,299.5,43.9,17.8,16.32,4.07,416.6,16.8,21.2,27.4
12,Los Angeles Clippers,27.9,2014,27.0,304.5,49.2,20.9,16.71,4.17,424.3,19.1,15.0,26.5
13,Los Angeles Lakers,32.9,2014,27.7,306.4,50.1,20.0,17.11,4.28,425.4,18.2,15.1,23.8
14,Memphis Grizzlies,30.3,2014,22.7,308.0,46.6,14.8,16.71,4.16,424.1,26.2,28.7,34.5
15,Miami Heat,38.9,2014,24.9,292.4,45.7,15.1,16.59,4.11,404.7,14.7,9.8,23.3
16,Milwaukee Bucks,33.8,2014,22.2,320.1,45.9,20.3,16.85,4.17,440.2,23.3,11.9,29.0
17,Minnesota Timberwolves,32.2,2014,25.1,303.4,52.5,17.4,16.80,4.18,427.5,25.4,17.0,32.8
18,New Orleans Pelicans,42.0,2014,22.0,271.4,42.6,17.3,17.06,4.24,388.8,21.7,8.6,24.4
19,New York Knicks,28.1,2014,27.4,279.9,44.2,23.7,16.23,4.03,395.4,17.0,15.5,21.1
20,Oklahoma City Thunder,31.8,2014,23.6,262.3,43.9,23.1,16.68,4.15,382.2,15.7,9.0,24.3
21,Orlando Magic,33.4,2014,27.0,286.2,46.4,18.5,16.92,4.18,404.7,13.1,16.8,22.3
22,Philadelphia 76ers,42.6,2014,23.5,301.4,46.8,14.8,17.70,4.40,427.9,16.2,13.4,29.2
23,Phoenix Suns,36.1,2014,24.8,277.9,42.1,19.9,16.73,4.18,398.4,13.2,16.8,24.1
24,Portland Trail Blazers,27.8,2014,28.3,295.5,48.3,24.8,17.23,4.28,416.7,16.3,18.5,24.8
25,Sacramento Kings,33.1,2014,20.2,267.0,40.6,20.2,16.85,4.21,386.9,16.8,18.4,26.3
26,San Antonio Spurs,35.7,2014,25.7,330.7,48.8,18.2,17.77,4.43,448.6,20.0,15.1,28.8
27,Toronto Raptors,38.1,2014,24.3,296.9,44.3,21.2,16.83,4.16,415.8,13.5,10.5,25.3
28,Utah Jazz,33.2,2014,25.8,319.5,46.8,17.5,16.97,4.23,436.8,18.7,15.4,24.2
29,Washington Wizards,27.4,2014,25.7,315.2,48.1,21.3,17.01,4.18,434.0,20.4,17.1,25.9
30,Atlanta Hawks,42.0,2015,30.8,324.3,50.8,12.6,16.82,4.21,440.5,15.9,11.3,23.3
31,Boston Celtics,32.7,2015,28.6,304.9,51.3,21.0,16.91,4.20,425.7,15.8,10.4,26.2
32,Brooklyn Nets,38.5,2015,23.3,273.0,44.9,19.6,16.80,4.15,391.1,18.0,15.3,27.6
33,Charlotte Hornets,34.4,2015,23.4,301.5,42.4,25.8,17.03,4.22,418.3,12.3,17.4,19.1
34,Chicago Bulls,35.7,2015,24.8,304.0,46.1,18.0,16.95,4.21,423.2,15.9,17.9,28.5
35,Cleveland Cavaliers,35.2,2015,22.7,289.4,42.8,20.5,16.44,4.09,407.3,11.8,12.7,27.0
36,Dallas Mavericks,42.7,2015,27.3,307.3,47.1,20.2,16.78,4.15,429.6,17.2,9.3,23.5
37,Denver Nuggets,41.7,2015,25.3,264.1,48.7,19.7,16.77,4.16,386.6,15.5,11.7,30.0
38,Detroit Pistons,35.4,2015,23.2,272.3,44.7,18.9,17.06,4.24,392.2,12.8,17.1,26.6
39,Golden State Warriors,28.0,2015,26.9,306.6,50.4,21.3,17.06,4.19,442.0,15.0,13.2,25.9
40,Houston Rockets,37.4,2015,26.8,299.1,47.9,14.5,16.73,4.16,421.6,12.6,15.6,26.8
41,Indiana Pacers,28.9,2015,29.9,311.1,48.1,16.8,16.52,4.11,430.2,16.6,19.3,26.5
42,Los Angeles Clippers,27.2,2015,27.5,294.0,48.2,24.9,16.45,4.11,411.6,18.1,13.6,23.5
43,Los Angeles Lakers,31.1,2015,22.5,270.3,43.5,26.1,16.68,4.12,389.2,20.0,14.6,27.0
44,Memphis Grizzlies,29.3,2015,21.6,309.0,46.2,17.6,16.75,4.15,426.1,23.3,26.1,31.0
45,Miami Heat,39.0,2015,22.6,304.0,44.1,18.1,16.48,4.12,418.0,17.4,12.9,23.7
46,Milwaukee Bucks,40.8,2015,24.4,287.4,48.1,18.4,16.96,4.19,406.5,20.2,10.7,28.2
47,Minnesota Timberwolves,26.5,2015,21.5,277.7,46.7,20.5,16.78,4.17,398.4,19.7,21.1,28.4
48,New Orleans Pelicans,42.9,2015,22.9,270.7,43.9,17.1,16.58,4.13,386.2,18.6,10.1,26.8
49,New York Knicks,24.6,2015,28.9,362.4,47.9,19.1,17.01,4.23,479.8,31.8,23.8,24.9
50,Oklahoma City Thunder,36.3,2015,23.8,271.0,43.0,22.5,16.74,4.17,394.8,15.3,9.4,26.5
51,Orlando Magic,42.5,2015,24.1,279.0,43.0,15.6,16.74,4.18,397.5,12.2,14.3,23.6
52,Philadelphia 76ers,47.4,2015,27.7,326.4,46.9,12.7,17.39,4.33,448.8,15.7,12.3,25.3
53,Phoenix Suns,39.0,2015,24.6,288.6,43.8,22.7,16.56,4.10,409.9,14.4,13.2,23.0
54,Portland Trail Blazers,29.4,2015,29.2,287.6,47.2,23.4,16.97,4.21,406.4,16.4,19.0,21.7
55,Sacramento Kings,35.1,2015,19.6,284.0,42.1,18.5,16.83,4.17,404.9,16.6,17.9,26.0
56,San Antonio Spurs,41.5,2015,24.5,342.4,47.7,18.7,17.68,4.37,460.8,17.2,17.1,28.3
57,Toronto Raptors,38.2,2015,20.2,275.1,40.3,25.1,16.53,4.10,392.4,10.0,9.7,23.7
58,Utah Jazz,38.6,2015,24.3,364.1,46.3,17.1,16.93,4.24,479.7,25.0,9.9,27.5
59,Washington Wizards,26.8,2015,25.9,299.5,48.0,20.4,16.84,4.15,418.1,19.3,17.5,27.9
60,Atlanta Hawks,42.9,2016,30.1,324.6,51.2,15.3,17.18,4.28,442.7,15.7,11.6,25.9
61,Boston Celtics,37.7,2016,27.7,316.7,50.9,19.5,16.79,4.18,439.4,13.0,9.3,25.8
62,Brooklyn Nets,35.9,2016,23.3,291.7,46.7,19.0,17.05,4.26,409.9,19.5,18.4,24.9
63,Charlotte Hornets,37.7,2016,28.2,296.5,47.3,21.4,17.34,4.31,414.1,13.0,12.4,19.8
64,Chicago Bulls,39.0,2016,26.3,307.7,46.3,21.0,17.23,4.27,428.5,13.9,17.0,25.6
65,Cleveland Cavaliers,35.3,2016,25.5,296.1,44.4,22.1,16.60,4.13,414.8,12.8,12.5,25.1
66,Dallas Mavericks,39.7,2016,29.4,330.0,48.0,20.3,16.94,4.18,449.6,17.7,13.3,21.7
67,Denver Nuggets,40.1,2016,23.2,290.2,46.8,18.8,16.80,4.18,411.1,14.9,11.4,28.9
68,Detroit Pistons,38.3,2016,22.6,263.3,41.7,23.1,16.84,4.18,384.2,12.8,13.3,27.3
69,Golden State Warriors,26.3,2016,28.7,323.5,54.2,20.9,17.10,4.24,446.4,15.2,16.6,27.6
70,Houston Rockets,41.5,2016,23.4,287.3,46.4,18.9,16.73,4.16,409.4,12.8,10.1,27.6
71,Indiana Pacers,29.9,2016,25.8,303.8,48.0,23.1,16.81,4.17,425.4,17.0,13.1,25.8
72,LA Clippers,31.6,2016,24.8,287.6,45.8,26.9,16.47,4.10,405.6,13.9,8.6,22.5
73,Los Angeles Lakers,32.5,2016,21.6,274.0,38.7,27.5,16.77,4.19,392.7,14.3,12.3,23.4
74,Memphis Grizzlies,31.8,2016,23.5,306.4,43.9,16.6,16.51,4.11,425.0,20.0,24.9,26.7
75,Miami Heat,44.6,2016,22.7,297.9,43.2,19.2,16.78,4.18,415.2,17.4,13.0,26.6
76,Milwaukee Bucks,39.6,2016,19.0,289.4,44.8,16.5,16.99,4.22,407.7,19.3,16.8,29.4
77,Minnesota Timberwolves,32.1,2016,22.0,281.4,47.3,19.8,16.83,4.18,400.9,19.8,15.4,26.5
78,New Orleans Pelicans,44.0,2016,22.7,292.5,43.1,23.7,17.23,4.30,412.5,13.9,11.2,21.2
79,New York Knicks,22.7,2016,27.2,341.6,46.8,22.4,16.82,4.19,458.0,24.4,27.7,26.0
80,Oklahoma City Thunder,38.0,2016,24.2,256.6,46.9,22.7,16.73,4.16,380.6,15.2,9.2,29.3
81,Orlando Magic,39.1,2016,29.1,305.7,49.1,17.4,17.78,4.41,425.1,11.9,14.2,23.1
82,Philadelphia 76ers,50.7,2016,26.4,329.3,47.0,16.9,17.58,4.38,450.4,15.5,12.5,22.7
83,Phoenix Suns,34.7,2016,25.4,310.4,47.3,20.8,16.90,4.23,435.4,15.8,14.2,26.8
84,Portland Trail Blazers,37.7,2016,25.0,281.8,45.3,25.2,17.24,4.29,401.8,16.4,5.5,22.9
85,Sacramento Kings,40.4,2016,24.2,283.3,50.3,16.1,17.02,4.24,406.5,13.5,12.9,28.4
86,San Antonio Spurs,37.1,2016,25.5,328.6,46.0,20.9,17.23,4.31,444.1,17.6,22.4,26.1
87,Toronto Raptors,49.5,2016,22.4,303.4,38.9,20.2,16.77,4.18,420.9,9.4,8.3,21.4
88,Utah Jazz,45.5,2016,23.1,352.3,44.3,20.7,17.31,4.28,468.5,23.1,7.7,24.0
89,Washington Wizards,35.3,2016,27.9,294.7,50.1,21.4,17.06,4.25,414.8,14.9,10.5,25.1
90,Atlanta Hawks,40.6,2017,26.2,310.0,46.8,18.9,17.05,4.24,431.2,14.0,10.8,27.4
91,Boston Celtics,37.4,2017,29.4,324.6,49.2,18.6,16.79,4.19,442.4,9.8,12.0,22.9
92,Brooklyn Nets,46.3,2017,26.5,311.0,45.4,16.5,17.43,4.35,433.3,11.7,15.5,21.3
93,Charlotte Hornets,36.7,2017,26.1,291.2,47.8,24.4,17.45,4.34,408.1,13.5,8.5,20.9
94,Chicago Bulls,41.2,2017,24.5,304.5,45.2,22.9,17.01,4.24,424.0,13.5,14.7,27.0
95,Cleveland Cavaliers,34.1,2017,27.4,275.3,45.1,22.2,16.46,4.08,394.3,12.0,10.3,20.9
96,Dallas Mavericks,37.9,2017,28.7,296.8,44.4,24.2,16.77,4.18,410.8,11.0,11.9,16.3
97,Denver Nuggets,41.0,2017,25.2,296.3,47.5,18.5,16.79,4.19,419.4,12.2,12.4,27.5
98,Detroit Pistons,36.6,2017,22.9,278.5,43.0,27.6,17.22,4.29,397.9,11.3,12.2,25.3
99,Golden State Warriors,26.9,2017,29.4,317.7,56.3,20.9,17.03,4.24,440.1,17.7,14.9,30.0
100,Houston Rockets,43.2,2017,28.7,267.4,50.7,18.8,16.53,4.12,388.9,12.0,3.7,25.6
101,Indiana Pacers,36.7,2017,26.6,286.4,47.4,19.2,16.70,4.15,405.8,15.7,13.3,23.8
102,LA Clippers,32.1,2017,23.6,301.7,43.2,26.0,16.34,4.08,419.9,11.5,11.7,21.7
103,Los Angeles Lakers,36.8,2017,21.1,288.4,42.7,24.2,17.19,4.30,409.3,14.6,10.4,26.8
104,Memphis Grizzlies,31.6,2017,26.5,303.3,46.4,17.5,16.55,4.10,422.1,18.2,21.0,24.5
